Year,FIPS_Code,County,Pct_Less_Than_HS,Pct_HS_Grad,Pct_Bachelors_Plus
2019,54089,Summers County,9.6,42.2,14.5
2019,54025,Greenbrier County,7.9,37.8,19.9
2019,54057,Mineral County,6.7,49.2,15.5
2019,54041,Lewis County,7.9,51.0,14.5
2019,54075,Pocahontas County,10.7,47.8,14.8
2019,54083,Randolph County,9.9,48.5,17.3
2019,54105,Wirt County,10.4,42.0,11.2
2019,54015,Clay County,11.4,51.8,9.2
2019,54061,Monongalia County,5.9,27.2,42.8
2019,54103,Wetzel County,9.9,50.9,12.0
2019,54039,Kanawha County,8.1,37.1,25.5
2019,54077,Preston County,8.3,47.2,16.9
2019,54085,Ritchie County,10.8,51.0,11.3
2019,54043,Lincoln County,10.8,47.0,9.0
2019,54007,Braxton County,12.5,46.3,14.9
2019,54005,Boone County,13.3,49.7,9.7
2019,54109,Wyoming County,11.4,48.7,9.3
2019,54023,Grant County,10.2,46.1,13.8
2019,54027,Hampshire County,10.7,46.2,12.4
2019,54009,Brooke County,6.4,40.9,19.0
2019,54017,Doddridge County,12.6,43.7,17.1
2019,54031,Hardy County,12.1,44.7,14.5
2019,54049,Marion County,7.9,40.7,22.6
2019,54059,Mingo County,14.7,42.6,9.9
2019,54029,Hancock County,7.5,41.9,17.4
2019,54051,Marshall County,6.4,44.5,18.0
2019,54067,Nicholas County,9.3,48.0,15.6
2019,54093,Tucker County,8.9,46.8,19.4
2019,54095,Tyler County,5.8,50.5,14.1
2019,54087,Roane County,13.9,43.5,13.1
2019,54091,Taylor County,7.8,47.2,17.3
2019,54107,Wood County,7.2,34.4,21.9
2019,54021,Gilmer County,9.9,44.7,17.0
2019,54053,Mason County,9.3,45.5,14.4
2019,54063,Monroe County,10.0,49.4,15.3
2019,54073,Pleasants County,7.7,50.7,11.6
2019,54011,Cabell County,8.2,33.3,26.0
2019,54037,Jefferson County,6.8,31.0,31.8
2019,54045,Logan County,14.2,43.9,10.0
2019,54071,Pendleton County,9.1,51.3,14.1
2019,54033,Harrison County,8.1,38.6,23.3
2019,54069,Ohio County,4.5,34.2,32.0
2019,54013,Calhoun County,11.9,46.7,12.2
2019,54065,Morgan County,10.2,40.4,17.0
2019,54081,Raleigh County,8.7,40.0,18.4
2019,54079,Putnam County,5.3,36.5,26.1
2019,54001,Barbour County,10.9,47.3,15.6
2019,54047,McDowell County,18.5,47.0,5.4
2019,54099,Wayne County,13.0,40.6,15.1
2019,54035,Jackson County,7.3,44.1,17.4
2019,54055,Mercer County,10.3,39.5,19.4
2019,54097,Upshur County,9.8,49.0,16.9
2019,54101,Webster County,10.6,49.5,11.4
2019,54003,Berkeley County,7.9,37.6,21.2
2019,54019,Fayette County,12.1,43.9,14.8
2020,54001,Barbour County,8.7,50.6,13.9
2020,54005,Boone County,11.1,46.6,11.6
2020,54007,Braxton County,11.4,47.3,14.0
2020,54011,Cabell County,7.6,32.7,27.1
2020,54013,Calhoun County,10.6,45.7,12.2
2020,54015,Clay County,11.8,52.7,10.3
2020,54019,Fayette County,10.7,43.7,15.2
2020,54021,Gilmer County,10.7,47.0,17.0
