Year,FIPS_Code,County,Pct_Never_Married,Pct_Divorced
2013,54001,Barbour County,55.1,7.4
2013,54003,Berkeley County,53.4,5.6
2013,54005,Boone County,56.5,8.3
2013,54007,Braxton County,54.3,7.8
2013,54009,Brooke County,49.5,9.1
2013,54011,Cabell County,44.8,7.7
2013,54013,Calhoun County,54.3,10.4
2013,54015,Clay County,56.2,7.3
2013,54017,Doddridge County,46.1,8.2
2013,54019,Fayette County,47.8,9.4
2013,54021,Gilmer County,40.5,7.5
2013,54023,Grant County,53.3,7.8
2013,54025,Greenbrier County,52.9,9.2
2013,54027,Hampshire County,39.6,8.2
2013,54029,Hancock County,51.2,9.1
2013,54031,Hardy County,46.1,7.7
2013,54033,Harrison County,53.3,8.9
2013,54035,Jackson County,54.0,8.7
2013,54037,Jefferson County,55.1,5.0
2013,54039,Kanawha County,48.8,8.4
2013,54041,Lewis County,50.8,7.7
2013,54043,Lincoln County,53.4,8.5
2013,54045,Logan County,53.5,10.2
2013,54047,McDowell County,47.5,11.0
2013,54049,Marion County,50.1,8.1
2013,54051,Marshall County,56.4,9.0
2013,54053,Mason County,51.9,8.5
2013,54055,Mercer County,52.2,9.1
2013,54057,Mineral County,44.6,8.3
2013,54059,Mingo County,54.6,8.6
2013,54061,Monongalia County,37.1,4.4
2013,54063,Monroe County,57.8,8.5
2013,54065,Morgan County,44.7,9.9
2013,54067,Nicholas County,59.2,7.4
2013,54069,Ohio County,46.5,8.9
2013,54071,Pendleton County,56.2,10.1
2013,54073,Pleasants County,56.8,6.1
2013,54075,Pocahontas County,58.0,7.5
2013,54077,Preston County,55.0,8.0
2013,54079,Putnam County,58.8,7.1
2013,54081,Raleigh County,52.1,8.6
2013,54083,Randolph County,50.8,7.8
2013,54085,Ritchie County,51.5,8.0
2013,54087,Roane County,54.4,9.3
2013,54089,Summers County,53.2,9.0
2013,54091,Taylor County,54.6,7.4
2013,54093,Tucker County,58.7,8.7
2013,54095,Tyler County,54.9,10.4
2013,54097,Upshur County,50.6,7.9
2013,54099,Wayne County,51.8,9.6
2013,54101,Webster County,57.2,7.8
2013,54103,Wetzel County,54.3,8.4
2013,54105,Wirt County,57.3,6.8
