Year,FIPS_Code,County,Poverty_Percent_All_Ages,Poverty_Percent_Age_0_17,Median_Household_Income
2018,54001,Barbour County,23.0,34.7,39580
2018,54003,Berkeley County,12.7,18.9,60615
2018,54005,Boone County,24.3,35.6,38642
2018,54007,Braxton County,21.8,35.8,42213
2018,54009,Brooke County,13.6,20.5,49772
2018,54011,Cabell County,22.5,26.6,38321
2018,54013,Calhoun County,18.9,23.0,37610
2018,54015,Clay County,27.1,29.3,35875
2018,54017,Doddridge County,15.0,14.3,46449
2018,54019,Fayette County,20.0,29.9,40379
2018,54021,Gilmer County,18.9,18.5,35810
2018,54023,Grant County,12.4,13.1,41071
2018,54025,Greenbrier County,17.9,24.3,39038
2018,54027,Hampshire County,20.2,33.8,40099
2018,54029,Hancock County,13.1,21.2,45580
2018,54031,Hardy County,11.5,22.1,47186
2018,54033,Harrison County,15.4,19.7,50433
2018,54035,Jackson County,15.6,20.7,44783
2018,54037,Jefferson County,9.7,12.0,76503
2018,54039,Kanawha County,17.1,25.9,45426
2018,54041,Lewis County,20.9,32.2,39423
2018,54043,Lincoln County,25.1,37.4,37679
2018,54045,Logan County,23.3,29.4,38123
2018,54047,McDowell County,33.3,43.4,26547
2018,54049,Marion County,17.0,23.9,48605
2018,54051,Marshall County,15.1,20.9,43918
2018,54053,Mason County,17.5,25.8,40347
2018,54055,Mercer County,19.8,28.2,39372
2018,54057,Mineral County,14.5,18.8,46354
2018,54059,Mingo County,28.7,39.7,31305
2018,54061,Monongalia County,21.2,16.2,49926
2018,54063,Monroe County,16.4,26.2,36493
2018,54065,Morgan County,8.5,6.1,50661
2018,54067,Nicholas County,18.3,27.2,38468
2018,54069,Ohio County,13.5,17.9,48418
2018,54071,Pendleton County,16.4,23.7,41210
2018,54073,Pleasants County,15.5,23.0,48563
2018,54075,Pocahontas County,16.7,30.1,39702
2018,54077,Preston County,15.7,22.9,48317
2018,54079,Putnam County,9.2,9.9,59626
2018,54081,Raleigh County,17.6,24.6,42296
2018,54083,Randolph County,19.3,25.3,41094
2018,54085,Ritchie County,17.0,26.6,44472
2018,54087,Roane County,20.9,25.3,34300
2018,54089,Summers County,22.9,35.3,36049
2018,54091,Taylor County,17.1,26.5,47205
2018,54093,Tucker County,14.1,22.4,45655
2018,54095,Tyler County,15.9,21.2,41108
2018,54097,Upshur County,20.8,31.1,40401
2018,54099,Wayne County,22.3,31.0,36875
2018,54101,Webster County,28.0,41.2,34312
2018,54103,Wetzel County,23.1,40.2,42125
2018,54105,Wirt County,18.9,32.1,40189
2018,54107,Wood County,16.7,25.4,45958
2018,54109,Wyoming County,21.7,25.8,40045
2019,54001,Barbour County,20.8,30.8,38459
2019,54003,Berkeley County,12.2,18.2,62515
2019,54005,Boone County,23.1,32.2,40739
2019,54007,Braxton County,22.0,36.9,41466
2019,54009,Brooke County,13.2,17.9,51496
2019,54011,Cabell County,22.3,26.0,40028
2019,54013,Calhoun County,21.7,27.1,38382
2019,54015,Clay County,27.5,35.2,35024
2019,54017,Doddridge County,15.7,18.1,45545
2019,54019,Fayette County,20.5,29.6,41394
2019,54021,Gilmer County,16.4,14.6,42636
2019,54023,Grant County,10.9,9.4,42216
2019,54025,Greenbrier County,16.0,21.3,40200
2019,54027,Hampshire County,17.8,29.1,47857
2019,54029,Hancock County,13.9,21.2,45763
2019,54031,Hardy County,13.8,28.8,47438
2019,54033,Harrison County,15.3,19.8,53022
2019,54035,Jackson County,17.7,24.9,47837
2019,54037,Jefferson County,9.7,12.3,80430
2019,54039,Kanawha County,17.2,24.7,46639
2019,54041,Lewis County,21.1,34.2,39908
