Year,FIPS_Code,County,Labor_Force_Participation_Rate,Unemployment_Rate,Rural_Urban_Continuum_Code
2013,54001,Barbour County,51.8,8.0,6.0
2013,54003,Berkeley County,66.1,11.9,2.0
2013,54005,Boone County,46.7,10.3,3.0
2013,54007,Braxton County,50.1,13.5,8.0
2013,54009,Brooke County,56.0,10.1,3.0
2013,54011,Cabell County,55.6,7.8,2.0
2013,54013,Calhoun County,50.4,16.2,8.0
2013,54015,Clay County,47.3,8.8,3.0
2013,54017,Doddridge County,47.3,8.4,9.0
2013,54019,Fayette County,46.6,10.3,3.0
2013,54021,Gilmer County,41.8,8.9,7.0
2013,54023,Grant County,58.8,7.2,7.0
2013,54025,Greenbrier County,53.6,7.5,6.0
2013,54027,Hampshire County,53.3,10.0,3.0
2013,54029,Hancock County,57.7,10.0,3.0
2013,54031,Hardy County,56.5,10.6,6.0
2013,54033,Harrison County,57.3,7.2,5.0
2013,54035,Jackson County,52.1,8.3,6.0
2013,54037,Jefferson County,68.3,9.0,1.0
2013,54039,Kanawha County,60.2,7.4,3.0
2013,54041,Lewis County,52.6,7.1,7.0
2013,54043,Lincoln County,44.9,9.4,2.0
2013,54045,Logan County,43.3,10.3,6.0
2013,54047,McDowell County,30.9,12.1,7.0
2013,54049,Marion County,57.7,5.3,4.0
2013,54051,Marshall County,55.2,8.2,3.0
2013,54053,Mason County,49.8,8.6,6.0
2013,54055,Mercer County,48.9,6.6,4.0
2013,54057,Mineral County,53.4,11.7,3.0
2013,54059,Mingo County,44.7,10.2,7.0
2013,54061,Monongalia County,59.7,5.9,3.0
2013,54063,Monroe County,53.0,9.2,8.0
2013,54065,Morgan County,55.9,16.2,8.0
2013,54067,Nicholas County,51.3,8.3,6.0
2013,54069,Ohio County,60.1,6.5,3.0
2013,54071,Pendleton County,53.6,3.1,8.0
2013,54073,Pleasants County,49.1,8.1,6.0
2013,54075,Pocahontas County,52.3,8.1,9.0
2013,54077,Preston County,55.3,7.8,3.0
2013,54079,Putnam County,59.1,4.9,2.0
2013,54081,Raleigh County,49.5,6.7,3.0
2013,54083,Randolph County,52.0,8.3,7.0
2013,54085,Ritchie County,49.5,10.8,8.0
2013,54087,Roane County,45.2,10.5,6.0
2013,54089,Summers County,42.4,7.9,6.0
2013,54091,Taylor County,54.8,9.2,6.0
2013,54093,Tucker County,55.0,6.3,8.0
2013,54095,Tyler County,48.2,12.6,9.0
2013,54097,Upshur County,50.6,6.4,7.0
2013,54099,Wayne County,50.3,9.0,2.0
2013,54101,Webster County,47.2,13.9,9.0
2013,54103,Wetzel County,45.3,8.5,6.0
2013,54105,Wirt County,53.1,17.1,3.0
2013,54107,Wood County,58.5,9.8,3.0
2013,54109,Wyoming County,38.3,6.5,6.0
2014,54001,Barbour County,49.7,8.9,6.0
2014,54003,Berkeley County,65.9,11.2,2.0
2014,54005,Boone County,45.9,9.3,3.0
2014,54007,Braxton County,49.8,13.7,8.0
2014,54009,Brooke County,54.5,8.1,3.0
2014,54011,Cabell County,54.6,7.1,2.0
2014,54013,Calhoun County,49.5,18.9,8.0
2014,54015,Clay County,46.2,9.9,3.0
2014,54017,Doddridge County,46.5,10.2,9.0
2014,54019,Fayette County,46.6,10.4,3.0
2014,54021,Gilmer County,42.6,8.8,7.0
2014,54023,Grant County,56.6,7.6,7.0
2014,54025,Greenbrier County,52.8,7.1,6.0
2014,54027,Hampshire County,51.8,10.1,3.0
2014,54029,Hancock County,57.7,7.7,3.0
2014,54031,Hardy County,59.5,9.1,6.0
2014,54033,Harrison County,57.0,7.2,5.0
