Year,FIPS_Code,State,County,Labor_Force_Participation_Rate,Unemployment_Rate,Median_Household_Income,Poverty_Percent_All_Ages,Poverty_Percent_Age_0_17,Pct_Never_Married,Pct_Divorced,Pct_Less_Than_HS,Pct_HS_Grad,Pct_Bachelors_Plus,Rural_Urban_Continuum_Code,LA_Opioid_Rate,LA_Tot_Opioid_Clms
2013,54001,West Virginia,Barbour,51.8,8.0,37327,17.6,28.7,55.1,7.4,14.6,46.1,11.7,6.0,5.85,253.0
2014,54001,West Virginia,Barbour,49.7,8.9,36351,19.8,29.1,53.5,7.7,12.8,48.2,12.2,6.0,10.56,649.0
2015,54001,West Virginia,Barbour,51.2,9.0,37066,21.5,30.3,52.0,7.4,12.7,47.1,11.9,6.0,10.95,565.0
2016,54001,West Virginia,Barbour,51.5,7.9,36733,22.4,32.5,51.1,7.1,13.2,43.9,12.8,6.0,7.85,352.0
2017,54001,West Virginia,Barbour,51.1,8.9,37516,22.5,32.5,49.6,7.6,12.1,44.5,15.3,6.0,7.47,320.0
2018,54001,West Virginia,Barbour,51.4,8.0,39580,23.0,34.7,50.3,7.9,10.8,46.1,16.6,6.0,5.57,194.0
2019,54001,West Virginia,Barbour,52.6,7.6,38459,20.8,30.8,48.3,8.0,10.9,47.3,15.6,6.0,4.89,117.0
2020,54001,West Virginia,Barbour,53.0,8.4,38906,21.0,32.7,47.1,10.0,8.7,50.6,13.9,6.0,5.5,138.0
2021,54001,West Virginia,Barbour,50.3,10.0,42260,20.8,30.5,47.1,10.2,8.6,53.1,13.0,6.0,6.42,198.0
2022,54001,West Virginia,Barbour,49.9,10.1,44341,22.0,32.5,48.1,10.8,8.5,54.0,11.8,6.0,6.87,192.0
2023,54001,West Virginia,Barbour,50.0,10.3,48347,20.8,29.1,45.8,10.3,8.0,53.4,12.2,9.0,5.41,155.0
2013,54003,West Virginia,Berkeley,66.1,11.9,53515,13.1,18.6,53.4,5.6,9.9,39.6,19.1,2.0,14.07,3348.0
2014,54003,West Virginia,Berkeley,65.9,11.2,55100,14.6,22.4,52.5,5.5,10.5,39.1,20.0,2.0,15.45,3794.0
2015,54003,West Virginia,Berkeley,65.3,9.7,55239,14.2,22.0,51.8,5.6,9.6,38.2,19.7,2.0,15.54,3653.0
2016,54003,West Virginia,Berkeley,65.1,9.0,57148,13.2,19.7,52.0,5.3,9.7,37.7,20.3,2.0,14.95,3244.0
2017,54003,West Virginia,Berkeley,65.5,8.3,59480,13.0,18.8,52.5,5.5,8.8,38.0,20.7,2.0,12.98,2252.0
2018,54003,West Virginia,Berkeley,65.0,6.9,60615,12.7,18.9,52.4,5.5,8.2,37.5,21.0,2.0,12.66,2162.0
2019,54003,West Virginia,Berkeley,65.4,6.0,62515,12.2,18.2,51.9,5.2,7.9,37.6,21.2,2.0,11.97,2163.0
2020,54003,West Virginia,Berkeley,66.9,6.0,65286,10.9,15.0,51.3,5.4,6.9,37.4,22.8,2.0,8.85,1126.0
2021,54003,West Virginia,Berkeley,66.0,4.8,68101,10.7,13.5,49.8,5.4,6.6,37.3,23.4,2.0,11.56,1399.0
2022,54003,West Virginia,Berkeley,66.4,4.6,73619,10.9,13.4,50.0,5.0,6.5,36.3,24.3,2.0,10.76,1300.0
2023,54003,West Virginia,Berkeley,66.7,4.8,77329,11.4,14.2,48.9,5.3,6.5,36.9,24.3,2.0,8.92,997.0
2013,54005,West Virginia,Boone,46.7,10.3,42156,20.7,28.5,56.5,8.3,13.9,50.4,6.9,3.0,4.97,414.0
2014,54005,West Virginia,Boone,45.9,9.3,42740,21.1,29.8,55.7,8.4,14.8,50.0,7.3,3.0,4.85,343.0
2015,54005,West Virginia,Boone,43.5,9.2,39958,23.3,35.2,55.2,8.5,13.1,49.4,8.8,3.0,4.46,319.0
2016,54005,West Virginia,Boone,41.5,9.6,37820,26.0,40.0,52.8,8.7,13.3,50.5,8.7,3.0,3.24,245.0
2017,54005,West Virginia,Boone,41.8,10.6,37955,24.4,38.5,53.8,8.9,14.4,50.1,7.9,3.0,3.26,243.0
2018,54005,West Virginia,Boone,40.0,9.4,38642,24.3,35.6,53.1,9.1,13.5,50.6,8.4,3.0,3.42,287.0
2019,54005,West Virginia,Boone,40.3,10.6,40739,23.1,32.2,53.4,8.7,13.3,49.7,9.7,3.0,2.91,240.0
2020,54005,West Virginia,Boone,42.7,12.4,45297,18.8,23.5,54.7,8.1,11.1,46.6,11.6,3.0,2.34,191.0
2021,54005,West Virginia,Boone,42.5,13.9,50598,17.8,19.5,50.8,8.3,11.3,47.2,11.3,3.0,2.06,155.0
