rank,county,FIPS_Code,distress_score,urgency,predicted_claims,poverty_rate,unemployment_rate,rurality_rucc,claim_growth_pct
1,Hancock,54029,100.0,CRITICAL,1.0,0.21923076923076923,0.47200000000000003,0.25,0.2680716643774051
2,Webster,54101,92.1821536375214,CRITICAL,0.006694445850112904,0.3884615384615384,0.6799999999999999,1.0,1.0
3,McDowell,54047,81.62272003797378,CRITICAL,0.0003424491226230934,0.9846153846153843,1.0,0.75,0.413966656181189
4,Calhoun,54013,72.86917420356474,HIGH,0.013188119475636686,1.0,0.768,0.875,0.28373702422145325
5,Mingo,54059,71.57500543166176,HIGH,0.012835743927603047,0.8038461538461538,0.688,0.75,0.4673941974980037
6,Cabell,54011,67.90392467148646,HIGH,0.6295963604378971,0.4769230769230769,0.27999999999999997,0.125,0.247992158813289
7,Braxton,54007,64.9271755756081,HIGH,0.010425309888689711,0.40384615384615374,0.9440000000000002,0.875,0.451510333863275
8,Wyoming,54109,62.339472284103806,HIGH,0.0072156350378129565,0.6423076923076921,0.304,0.625,0.6219723183391004
9,Nicholas,54067,48.29483871808177,MODERATE,0.1907823426874427,0.34615384615384615,0.32,0.625,0.32280965281689505
10,Logan,54045,47.8862977389029,MODERATE,0.044497577527545754,0.6192307692307693,0.8560000000000001,0.625,0.11771580467013448
11,Barbour,54001,47.57238800260593,MODERATE,0.029977231984481614,0.5499999999999999,0.5999999999999999,0.625,0.26926706511481596
12,Roane,54087,47.05154758454319,MODERATE,0.021324177842951143,0.5153846153846154,0.728,0.625,0.2504224672084976
13,Gilmer,54021,46.62356394935052,MODERATE,0.005398339759191244,0.13076923076923075,0.35999999999999993,0.75,0.6248146317350469
14,Clay,54015,44.79797567651551,MODERATE,0.011838563009858758,0.65,0.688,0.25,0.3044982698961937
15,Taylor,54091,41.87951616068755,MODERATE,0.013048650997112835,0.3538461538461538,0.536,0.625,0.3673010380622837
16,Randolph,54083,41.796349581141186,MODERATE,0.09130921263314909,0.29999999999999993,0.37599999999999995,0.75,0.29922379126531373
17,Summers,54089,40.211467896406226,MODERATE,0.029017424991773663,0.5192307692307692,0.39999999999999997,0.625,0.26214115560501466
18,Ritchie,54085,38.10910105184618,WATCH,0.007624852371122098,0.48461538461538456,0.08000000000000002,0.875,0.28373702422145325
19,Pendleton,54071,36.86055586803074,WATCH,0.014239707058643011,0.33461538461538454,0.37599999999999995,0.875,0.25720876585928487
20,Monongalia,54061,34.64310895688497,WATCH,0.31517282590744006,0.49615384615384617,0.248,0.25,0.14074441562682505
21,Pocahontas,54075,34.597757769431624,WATCH,0.006326852257536049,0.48461538461538456,0.432,1.0,0.044982698961937684
22,Kanawha,54039,34.47281562982642,WATCH,0.2508333279435865,0.33461538461538454,0.22400000000000003,0.25,0.23794457824284893
23,Upshur,54097,34.312041763686835,WATCH,0.02691806334305646,0.3884615384615384,0.25599999999999995,0.75,0.2478548712922775
24,Wirt,54105,33.96461424283193,WATCH,0.006410895192131141,0.48461538461538456,0.0,0.25,0.5084469774068796
25,Boone,54005,32.64618354790449,WATCH,0.025426583628938355,0.3384615384615385,0.5760000000000001,0.25,0.29914052907690586
26,Raleigh,54081,31.790531550012975,WATCH,0.11553207481095942,0.5499999999999999,0.35999999999999993,0.25,0.16010532959021562
27,Lewis,54041,31.08211538109899,WATCH,0.055577830628680006,0.35,0.48799999999999993,0.75,0.08599226541827801
28,Tyler,54095,30.89585344027891,WATCH,0.002429878064669404,0.16538461538461535,0.184,1.0,0.28373702422145325
29,Lincoln,54043,30.32271202468643,WATCH,0.010901945695605412,0.4423076923076923,0.264,0.125,0.37383299601749687
